name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost,listed_in_type,rating_category
Restaurant_13,No,Yes,5.0,23,Rajajinagar,Bar,"Miso Soup, Ramen",Japanese,1000.0,Dine-out,High
Restaurant_14,Yes,No,4.0,695,JP Nagar,Beverage Shop,"Pastry, Ice Cream",Desserts,100.0,Dine-out,High
Restaurant_15,Yes,No,4.3,430,Jayanagar,Casual Dining,"Miso Soup, Sushi",Japanese,700.0,Dine-out,High
Restaurant_16,No,No,4.0,939,BTM,Delivery,"Green Curry, Pad Thai",Thai,,Delivery,High
Restaurant_17,No,No,4.0,1013,JP Nagar,Bakery,"Pizza, Sandwich, Pasta, Burger",Continental,200.0,Dine-out,High
Restaurant_18,Yes,No,4.1,161,JP Nagar,Quick Bites,"Pani Puri, Pav Bhaji, Bhel",Street Food,350.0,Dine-out,High
Restaurant_19,Yes,No,3.6,26,Whitefield,Fine Dining,"Cappuccino, Cold Coffee",Cafe,1650.0,Dine-out,Medium
Restaurant_20,No,No,3.9,710,HSR Layout,Bar,"Kebab, Nihari, Biryani, Haleem",Mughlai,900.0,Dine-out,Medium
Restaurant_21,Yes,Yes,3.3,1883,Jayanagar,Bar,"Ramen, Sushi, Miso Soup",Japanese,850.0,Dine-out,Low
Restaurant_22,No,Yes,3.8,337,Indiranagar,Bakery,"Pepperoni, Margherita, Garlic Bread, BBQ Chicken",Pizza,250.0,Dine-out,Medium
Restaurant_23,No,No,3.3,148,JP Nagar,Delivery,,South Indian,200.0,Delivery,Low
Restaurant_24,Yes,No,4.0,102,Electronic City,Quick Bites,"Vada, Masala Dosa",South Indian,350.0,Dine-out,High
Restaurant_25,No,Yes,4.1,208,Hebbal,Cafe,"Sandwich, Fries",Fast Food,400.0,Dine-out,High
Restaurant_26,No,Yes,4.1,244,HSR Layout,Beverage Shop,"Ramen, Miso Soup, Sushi",Japanese,100.0,Dine-out,High
Restaurant_27,No,No,3.8,314,Indiranagar,Dessert Parlor,"Idli, Masala Dosa, Filter Coffee",South Indian,400.0,Dine-out,Medium
Restaurant_28,No,Yes,3.6,575,Electronic City,Bar,"Idli, Filter Coffee, Vada",South Indian,1300.0,Dine-out,Medium
Restaurant_29,No,No,3.6,172,Jayanagar,Beverage Shop,"Sandwich, Pasta",Continental,150.0,Dine-out,Medium
Restaurant_30,Yes,Yes,4.5,35,Koramangala,Beverage Shop,"BBQ Chicken, Margherita",Pizza,100.0,Dine-out,High
Restaurant_31,Yes,No,4.3,301,Electronic City,Casual Dining,"Veg Biryani, Mutton Biryani",Biryani,900.0,Dine-out,High
Restaurant_32,No,No,3.1,899,Malleshwaram,Delivery,"Idli, Filter Coffee",South Indian,250.0,Delivery,Low
Restaurant_33,Yes,No,3.0,310,HSR Layout,Dessert Parlor,"Veg Biryani, Chicken Biryani, Mutton Biryani",Biryani,300.0,Dine-out,Low
Restaurant_34,Yes,Yes,3.6,1806,Bellandur,Cafe,"Sandwich, Pasta",Continental,300.0,Dine-out,Medium
Restaurant_35,No,No,4.6,483,Electronic City,Fine Dining,"Filter Coffee, Vada, Idli, Masala Dosa",South Indian,1650.0,Dine-out,High
Restaurant_36,No,No,4.3,208,Banashankari,Casual Dining,"Ice Cream, Pastry, Brownie",Desserts,900.0,Dine-out,High
Restaurant_37,Yes,No,3.3,106,Koramangala,Beverage Shop,"Cappuccino, Cheesecake, Brownie, Cold Coffee",Cafe,100.0,Dine-out,Low
Restaurant_38,No,No,3.9,693,Rajajinagar,Beverage Shop,"Sandwich, Fries, Burger",Fast Food,200.0,Dine-out,Medium
Restaurant_39,No,No,4.6,530,Rajajinagar,Food Court,"Kebab, Haleem",Mughlai,250.0,Dine-out,High
Restaurant_40,Yes,No,4.0,555,Yelahanka,Dessert Parlor,"Burrito, Tacos, Quesadilla",Mexican,200.0,Dine-out,High
Restaurant_41,No,No,4.4,928,Malleshwaram,Dessert Parlor,"Brownie, Cappuccino, Cold Coffee",Cafe,350.0,Dine-out,High
Restaurant_42,Yes,No,4.3,834,Electronic City,Food Court,"Pizza, Bruschetta, Tiramisu",Italian,400.0,Dine-out,High
Restaurant_43,Yes,No,3.3,21,Electronic City,Dessert Parlor,"Ice Cream, Cake",Desserts,400.0,Dine-out,Low
Restaurant_44,Yes,Yes,3.9,949,Yelahanka,Beverage Shop,"Butter Naan, Dal Makhani, Paneer Butter Masala, Biryani",North Indian,150.0,Dine-out,Medium
Restaurant_45,Yes,No,3.8,433,Hebbal,Bar,"Masala Dosa, Idli, Filter Coffee, Vada",South Indian,750.0,Dine-out,Medium
Restaurant_46,Yes,No,3.9,290,Hebbal,Quick Bites,"Veg Biryani, Mutton Biryani, Raita, Chicken Biryani",Biryani,350.0,Dine-out,Medium
Restaurant_47,No,No,4.2,485,Yelahanka,Beverage Shop,"Butter Naan, Biryani, Dal Makhani, Paneer Butter Masala",North Indian,200.0,Dine-out,High
Restaurant_48,No,No,3.9,554,Hebbal,Casual Dining,"Noodles, Spring Rolls, Fried Rice, Manchurian",Chinese,550.0,Dine-out,Medium
Restaurant_49,Yes,No,2.3,55,Whitefield,Delivery,"Filter Coffee, Vada, Idli",South Indian,300.0,Delivery,Low
Restaurant_50,No,No,3.0,243,Electronic City,Food Court,"Pizza, Pasta, Tiramisu, Bruschetta",Italian,300.0,Dine-out,Low
Restaurant_51,Yes,No,2.7,165,Marathahalli,Cafe,"Burger, Pasta",Continental,400.0,Dine-out,Low
Restaurant_52,Yes,No,4.3,278,BTM,Fine Dining,"Pad Thai, Tom Yum, Spring Rolls",Thai,2200.0,Dine-out,High
Restaurant_53,No,No,3.8,54,Banashankari,Cafe,"Sandwich, Fries, Burger",Fast Food,250.0,Dine-out,Medium
Restaurant_54,Yes,No,3.9,101,Whitefield,Beverage Shop,"Bruschetta, Pasta, Tiramisu",Italian,150.0,Dine-out,Medium
Restaurant_55,Yes,No,3.3,87,Jayanagar,Casual Dining,"Mutton Biryani, Veg Biryani, Raita, Chicken Biryani",Biryani,,Dine-out,Low
Restaurant_56,No,No,4.0,280,Whitefield,Beverage Shop,"Burger, Sandwich, Pasta",Continental,150.0,Dine-out,High
Restaurant_57,Yes,No,4.2,1416,Marathahalli,Delivery,"Miso Soup, Sushi",Japanese,350.0,Delivery,High
Restaurant_58,No,No,3.1,107,Jayanagar,Bar,"Vada Pav, Pani Puri, Pav Bhaji",Street Food,800.0,Dine-out,Low
Restaurant_59,Yes,Yes,3.7,298,Banashankari,Fine Dining,"Kebab, Nihari, Biryani, Haleem",Mughlai,,Dine-out,Medium
Restaurant_60,Yes,No,3.8,212,Marathahalli,Delivery,"Pizza, Sandwich, Pasta, Burger",Continental,400.0,Delivery,Medium
Restaurant_61,Yes,No,4.7,1091,Indiranagar,Food Court,"Filter Coffee, Idli",South Indian,350.0,Dine-out,High
Restaurant_62,Yes,No,4.6,35,BTM,Food Court,"Biryani, Dal Makhani, Paneer Butter Masala, Butter Naan",North Indian,300.0,Dine-out,High
Restaurant_63,Yes,Yes,4.3,141,Banashankari,Beverage Shop,"Tacos, Nachos",Mexican,100.0,Dine-out,High
Restaurant_64,Yes,No,3.4,120,Electronic City,Casual Dining,"Tacos, Burrito, Quesadilla",Mexican,700.0,Dine-out,Low
Restaurant_65,No,No,4.1,3048,Hebbal,Delivery,"Biryani, Butter Naan, Dal Makhani, Paneer Butter Masala",North Indian,350.0,Delivery,High
Restaurant_66,No,No,3.5,444,Indiranagar,Bakery,"Raita, Mutton Biryani, Chicken Biryani, Veg Biryani",Biryani,250.0,Dine-out,Medium
Restaurant_67,Yes,No,3.4,76,Malleshwaram,Casual Dining,"Tacos, Burrito",Mexican,600.0,Dine-out,Low
Restaurant_68,Yes,No,2.7,128,Banashankari,Bar,"Pizza, Sandwich, Burger, Pasta",Continental,1100.0,Dine-out,Low
Restaurant_69,Yes,No,3.9,107,Malleshwaram,Food Court,"Pizza, Pasta",Italian,200.0,Dine-out,Medium
Restaurant_70,No,Yes,3.6,71,Jayanagar,Beverage Shop,"Pastry, Brownie",Desserts,100.0,Dine-out,Medium
Restaurant_71,No,No,3.7,885,Indiranagar,Dessert Parlor,"Mutton Biryani, Veg Biryani, Chicken Biryani",Biryani,,Dine-out,Medium
Restaurant_72,Yes,Yes,2.9,297,BTM,Food Court,"Bhel, Vada Pav, Pav Bhaji, Pani Puri",Street Food,250.0,Dine-out,Low
Restaurant_73,No,No,4.2,628,Electronic City,Fine Dining,"Miso Soup, Tempura, Sushi, Ramen",Japanese,1100.0,Dine-out,High
Restaurant_74,Yes,No,2.6,156,Yelahanka,Quick Bites,"Fries, Wrap, Sandwich",Fast Food,300.0,Dine-out,Low
Restaurant_75,Yes,No,4.3,520,Electronic City,Dessert Parlor,"Tom Yum, Spring Rolls, Green Curry, Pad Thai",Thai,300.0,Dine-out,High
Restaurant_76,Yes,No,4.1,183,Marathahalli,Beverage Shop,"Chicken Biryani, Raita, Veg Biryani, Mutton Biryani",Biryani,200.0,Dine-out,High
Restaurant_77,Yes,Yes,3.9,215,Electronic City,Bakery,"Tom Yum, Spring Rolls, Green Curry",Thai,200.0,Dine-out,Medium
Restaurant_78,Yes,No,4.1,649,Bellandur,Dessert Parlor,"Raita, Chicken Biryani, Mutton Biryani, Veg Biryani",Biryani,350.0,Dine-out,High
Restaurant_79,Yes,Yes,3.9,95,JP Nagar,Fine Dining,"Kebab, Biryani, Haleem",Mughlai,1400.0,Dine-out,Medium
Restaurant_80,No,Yes,3.9,561,Yelahanka,Casual Dining,"Cappuccino, Cold Coffee",Cafe,600.0,Dine-out,Medium
Restaurant_81,Yes,No,4.2,1204,Whitefield,Bakery,"Filter Coffee, Vada, Masala Dosa",South Indian,200.0,Dine-out,High
Restaurant_82,Yes,Yes,2.5,48,Hebbal,Food Court,"Haleem, Biryani",Mughlai,250.0,Dine-out,Low
Restaurant_83,Yes,No,3.6,1229,Koramangala,Bakery,"Burrito, Tacos, Quesadilla",Mexican,250.0,Dine-out,Medium
Restaurant_84,Yes,No,3.8,47,BTM,Delivery,"Paneer Butter Masala, Dal Makhani",North Indian,,Delivery,Medium
Restaurant_85,Yes,Yes,4.3,276,Indiranagar,Fine Dining,"Biryani, Butter Naan",North Indian,1300.0,Dine-out,High
Restaurant_86,Yes,Yes,4.7,664,JP Nagar,Dessert Parlor,"Cake, Ice Cream, Brownie",Desserts,350.0,Dine-out,High
Restaurant_87,Yes,No,3.2,393,BTM,Delivery,"Spring Rolls, Noodles",Chinese,400.0,Delivery,Low
Restaurant_88,Yes,No,3.5,53,Indiranagar,Bakery,"Manchurian, Fried Rice, Spring Rolls",Chinese,150.0,Dine-out,Medium
Restaurant_89,Yes,No,2.8,673,Hebbal,Delivery,"Pastry, Cake",Desserts,200.0,Delivery,Low
Restaurant_90,Yes,No,4.6,2496,HSR Layout,Cafe,"Pad Thai, Green Curry",Thai,550.0,Dine-out,High
Restaurant_91,No,No,4.0,119,HSR Layout,Fine Dining,"Tiramisu, Bruschetta, Pasta",Italian,1150.0,Dine-out,High
Restaurant_92,No,No,3.5,1183,Malleshwaram,Bar,"Biryani, Dal Makhani, Paneer Butter Masala, Butter Naan",North Indian,650.0,Dine-out,Medium
Restaurant_93,Yes,Yes,4.0,488,BTM,Casual Dining,"Cheesecake, Cappuccino",Cafe,650.0,Dine-out,High
Restaurant_94,Yes,No,4.1,1689,HSR Layout,Bakery,"Haleem, Biryani, Kebab",Mughlai,200.0,Dine-out,High
Restaurant_95,Yes,No,4.4,127,Bellandur,Fine Dining,"Sandwich, Wrap, Fries, Burger",Fast Food,1700.0,Dine-out,High
Restaurant_96,Yes,No,5.0,1177,Yelahanka,Bar,"Cheesecake, Cappuccino, Brownie",Cafe,950.0,Dine-out,High
Restaurant_97,Yes,No,4.0,36,Indiranagar,Bar,"Pani Puri, Vada Pav",Street Food,1250.0,Dine-out,High
Restaurant_98,Yes,No,3.6,1159,Malleshwaram,Beverage Shop,"Spring Rolls, Pad Thai, Tom Yum",Thai,150.0,Dine-out,Medium
Restaurant_99,Yes,Yes,3.7,622,Electronic City,Delivery,"Brownie, Ice Cream, Pastry",Desserts,400.0,Delivery,Medium
Restaurant_100,No,No,3.5,242,Indiranagar,Bar,"Spring Rolls, Manchurian",Chinese,950.0,Dine-out,Medium
Restaurant_101,Yes,No,3.0,95,Malleshwaram,Cafe,"Burger, Pizza",Continental,300.0,Dine-out,Low
Restaurant_102,Yes,No,4.2,1068,Hebbal,Fine Dining,"Brownie, Cheesecake, Cold Coffee, Cappuccino",Cafe,2150.0,Dine-out,High
Restaurant_103,Yes,Yes,4.4,610,BTM,Quick Bites,"Pastry, Brownie, Cake",Desserts,150.0,Dine-out,High
Restaurant_104,No,No,3.4,227,Hebbal,Quick Bites,"Brownie, Cappuccino",Cafe,300.0,Dine-out,Low
Restaurant_105,No,No,3.3,290,Yelahanka,Bakery,"Burrito, Tacos",Mexican,100.0,Dine-out,Low
Restaurant_106,Yes,No,4.6,1208,Yelahanka,Food Court,"Pani Puri, Bhel, Vada Pav",Street Food,350.0,Dine-out,High
Restaurant_107,No,Yes,3.2,198,JP Nagar,Delivery,"Sushi, Miso Soup",Japanese,400.0,Delivery,Low
Restaurant_108,Yes,No,2.8,39,Hebbal,Food Court,"Cappuccino, Cold Coffee",Cafe,300.0,Dine-out,Low
Restaurant_109,No,Yes,3.3,1199,Marathahalli,Bar,"Quesadilla, Nachos, Tacos, Burrito",Mexican,800.0,Dine-out,Low
Restaurant_110,No,No,3.3,242,Electronic City,Fine Dining,"Cold Coffee, Cappuccino",Cafe,1300.0,Dine-out,Low
Restaurant_111,Yes,No,4.0,256,Banashankari,Bakery,"Brownie, Cold Coffee",Cafe,200.0,Dine-out,High
Restaurant_112,No,Yes,3.7,126,Hebbal,Dessert Parlor,"Fried Rice, Spring Rolls, Manchurian, Noodles",Chinese,250.0,Dine-out,Medium
Restaurant_113,Yes,No,3.7,1263,JP Nagar,Bar,"Paneer Butter Masala, Butter Naan, Biryani, Dal Makhani",North Indian,1100.0,Dine-out,Medium
Restaurant_114,Yes,No,4.4,161,Jayanagar,Delivery,"Veg Biryani, Raita",Biryani,250.0,Delivery,High
Restaurant_115,Yes,No,3.5,531,Bellandur,Quick Bites,"Tom Yum, Spring Rolls, Pad Thai",Thai,200.0,Dine-out,Medium
Restaurant_116,No,No,4.1,1307,Indiranagar,Beverage Shop,"Cold Coffee, Cappuccino, Brownie",Cafe,150.0,Dine-out,High
Restaurant_117,Yes,No,5.0,26,Yelahanka,Fine Dining,"Cappuccino, Brownie, Cold Coffee",Cafe,1700.0,Dine-out,High
Restaurant_118,Yes,No,3.6,953,Jayanagar,Casual Dining,"Idli, Masala Dosa, Filter Coffee, Vada",South Indian,550.0,Dine-out,Medium
Restaurant_119,No,No,4.1,325,JP Nagar,Food Court,"Dal Makhani, Butter Naan",North Indian,350.0,Dine-out,High
Restaurant_120,Yes,No,3.7,595,Malleshwaram,Bakery,"Nachos, Tacos",Mexican,250.0,Dine-out,Medium
Restaurant_121,Yes,No,4.3,300,Banashankari,Food Court,"Veg Biryani, Raita, Chicken Biryani, Mutton Biryani",Biryani,250.0,Dine-out,High
Restaurant_122,Yes,Yes,3.6,642,Electronic City,Fine Dining,"Wrap, Sandwich",Fast Food,,Dine-out,Medium
Restaurant_123,Yes,No,3.0,132,Electronic City,Food Court,"Burger, Sandwich, Wrap",Fast Food,350.0,Dine-out,Low
Restaurant_124,Yes,No,4.0,13,Electronic City,Fine Dining,"Pizza, Sandwich, Burger, Pasta",Continental,1250.0,Dine-out,High
Restaurant_125,Yes,No,3.4,1505,Bellandur,Food Court,"Brownie, Ice Cream, Cake, Pastry",Desserts,200.0,Dine-out,Low
Restaurant_126,No,No,3.4,8,Banashankari,Cafe,"Margherita, BBQ Chicken, Garlic Bread, Pepperoni",Pizza,450.0,Dine-out,Low
Restaurant_127,No,No,3.6,938,Bellandur,Dessert Parlor,"Kebab, Haleem, Biryani, Nihari",Mughlai,250.0,Dine-out,Medium
Restaurant_128,Yes,No,4.2,116,Yelahanka,Bar,"Filter Coffee, Vada, Idli, Masala Dosa",South Indian,750.0,Dine-out,High
Restaurant_129,Yes,No,3.6,268,Bellandur,Bar,"Burrito, Nachos, Quesadilla",Mexican,1300.0,Dine-out,Medium
Restaurant_130,Yes,No,3.4,881,Koramangala,Delivery,"Dal Makhani, Butter Naan",North Indian,250.0,Delivery,Low
Restaurant_131,No,Yes,3.7,127,Banashankari,Casual Dining,"Paneer Butter Masala, Biryani, Butter Naan, Dal Makhani",North Indian,950.0,Dine-out,Medium
Restaurant_132,Yes,No,3.4,1023,Marathahalli,Casual Dining,"Garlic Bread, Margherita",Pizza,550.0,Dine-out,Low
Restaurant_133,Yes,No,3.3,340,Banashankari,Delivery,"Burger, Pizza, Pasta, Sandwich",Continental,400.0,Delivery,Low
Restaurant_134,No,No,2.9,198,JP Nagar,Beverage Shop,"Bruschetta, Pizza",Italian,150.0,Dine-out,Low
Restaurant_135,Yes,No,3.8,619,Koramangala,Bar,"Manchurian, Noodles, Spring Rolls, Fried Rice",Chinese,650.0,Dine-out,Medium
Restaurant_136,Yes,Yes,3.7,231,Electronic City,Beverage Shop,"Pasta, Burger",Continental,150.0,Dine-out,Medium
Restaurant_137,No,Yes,4.8,307,JP Nagar,Fine Dining,"Pav Bhaji, Pani Puri, Bhel",Street Food,2100.0,Dine-out,High
Restaurant_138,No,No,3.4,674,JP Nagar,Fine Dining,"Veg Biryani, Raita, Mutton Biryani, Chicken Biryani",Biryani,1200.0,Dine-out,Low
Restaurant_139,Yes,No,3.5,194,Yelahanka,Quick Bites,"Tom Yum, Green Curry",Thai,300.0,Dine-out,Medium
Restaurant_140,No,No,4.6,154,Rajajinagar,Food Court,,Continental,300.0,Dine-out,High
Restaurant_141,Yes,No,3.3,815,Whitefield,Casual Dining,"BBQ Chicken, Garlic Bread",Pizza,,Dine-out,Low
Restaurant_142,No,Yes,3.8,932,Koramangala,Quick Bites,"Pepperoni, Garlic Bread, Margherita, BBQ Chicken",Pizza,300.0,Dine-out,Medium
Restaurant_143,Yes,Yes,3.4,351,JP Nagar,Dessert Parlor,"Biryani, Haleem, Kebab",Mughlai,200.0,Dine-out,Low
Restaurant_144,No,No,3.0,336,Whitefield,Delivery,"Masala Dosa, Idli",South Indian,250.0,Delivery,Low
Restaurant_145,No,No,4.5,803,Whitefield,Delivery,"Pav Bhaji, Bhel, Vada Pav",Street Food,300.0,Delivery,High
Restaurant_146,No,No,4.2,448,Koramangala,Fine Dining,"Cheesecake, Cappuccino, Cold Coffee, Brownie",Cafe,2150.0,Dine-out,High
Restaurant_147,No,No,3.8,307,Rajajinagar,Bar,,Desserts,850.0,Dine-out,Medium
Restaurant_148,Yes,No,3.0,2374,Jayanagar,Beverage Shop,"Wrap, Fries, Burger",Fast Food,150.0,Dine-out,Low
Restaurant_149,Yes,Yes,4.2,100,Malleshwaram,Casual Dining,"BBQ Chicken, Garlic Bread, Margherita",Pizza,450.0,Dine-out,High
Restaurant_150,Yes,No,4.4,592,Marathahalli,Quick Bites,"Kebab, Nihari, Haleem",Mughlai,300.0,Dine-out,High
Restaurant_151,No,No,4.3,1399,Malleshwaram,Beverage Shop,"Spring Rolls, Noodles, Manchurian, Fried Rice",Chinese,150.0,Dine-out,High
Restaurant_152,No,Yes,4.2,732,Banashankari,Quick Bites,"Quesadilla, Burrito, Nachos",Mexican,300.0,Dine-out,High
Restaurant_153,Yes,No,3.2,1021,Electronic City,Food Court,"Miso Soup, Tempura",Japanese,400.0,Dine-out,Low
Restaurant_154,No,No,3.9,239,Marathahalli,Dessert Parlor,"Burger, Fries, Sandwich",Fast Food,200.0,Dine-out,Medium
Restaurant_155,No,No,4.0,190,Banashankari,Dessert Parlor,"Tiramisu, Pizza, Bruschetta",Italian,250.0,Dine-out,High
Restaurant_156,No,No,2.8,800,JP Nagar,Beverage Shop,"Biryani, Butter Naan, Dal Makhani",North Indian,200.0,Dine-out,Low
Restaurant_157,No,No,3.1,232,Electronic City,Beverage Shop,"Manchurian, Spring Rolls",Chinese,100.0,Dine-out,Low
Restaurant_158,Yes,No,4.2,779,Indiranagar,Beverage Shop,"Bruschetta, Pasta, Pizza",Italian,150.0,Dine-out,High
Restaurant_159,Yes,Yes,4.4,105,Koramangala,Quick Bites,"Burger, Fries, Wrap",Fast Food,300.0,Dine-out,High
Restaurant_160,Yes,Yes,3.2,676,Marathahalli,Food Court,"Fried Rice, Manchurian, Spring Rolls",Chinese,350.0,Dine-out,Low
Restaurant_161,Yes,No,4.2,501,Marathahalli,Cafe,"Biryani, Nihari, Kebab",Mughlai,350.0,Dine-out,High
Restaurant_162,No,Yes,3.9,182,Hebbal,Beverage Shop,"Bruschetta, Tiramisu, Pasta, Pizza",Italian,100.0,Dine-out,Medium
Restaurant_163,No,No,4.1,419,JP Nagar,Bar,"Green Curry, Spring Rolls, Tom Yum, Pad Thai",Thai,1100.0,Dine-out,High
Restaurant_164,No,Yes,3.6,644,Jayanagar,Casual Dining,"Butter Naan, Biryani, Paneer Butter Masala",North Indian,,Dine-out,Medium
Restaurant_165,No,No,4.0,7,Whitefield,Casual Dining,"Brownie, Cheesecake, Cold Coffee",Cafe,850.0,Dine-out,High
Restaurant_166,Yes,Yes,4.4,669,Electronic City,Quick Bites,"Kebab, Haleem, Biryani",Mughlai,250.0,Dine-out,High
Restaurant_167,Yes,No,3.6,421,JP Nagar,Beverage Shop,"Tacos, Burrito, Quesadilla",Mexican,,Dine-out,Medium
Restaurant_168,Yes,Yes,4.4,164,HSR Layout,Fine Dining,"Mutton Biryani, Chicken Biryani",Biryani,1400.0,Dine-out,High
Restaurant_169,Yes,No,3.5,734,Rajajinagar,Delivery,"Pad Thai, Green Curry, Tom Yum",Thai,400.0,Delivery,Medium
Restaurant_170,Yes,No,4.6,249,Whitefield,Cafe,"Tom Yum, Spring Rolls, Pad Thai",Thai,400.0,Dine-out,High
Restaurant_171,Yes,No,3.7,179,Koramangala,Bar,"Butter Naan, Paneer Butter Masala, Biryani, Dal Makhani",North Indian,1000.0,Dine-out,Medium
Restaurant_172,Yes,Yes,3.5,334,Whitefield,Food Court,"Masala Dosa, Vada, Idli, Filter Coffee",South Indian,400.0,Dine-out,Medium
Restaurant_173,Yes,Yes,4.0,676,Jayanagar,Fine Dining,"Burrito, Quesadilla, Nachos",Mexican,1800.0,Dine-out,High
Restaurant_174,No,No,3.8,1506,Yelahanka,Dessert Parlor,"Miso Soup, Sushi, Tempura, Ramen",Japanese,400.0,Dine-out,Medium
Restaurant_175,Yes,No,4.6,105,Hebbal,Fine Dining,"Pizza, Sandwich, Pasta, Burger",Continental,1150.0,Dine-out,High
Restaurant_176,Yes,No,3.1,234,Whitefield,Quick Bites,"Vada Pav, Pav Bhaji",Street Food,,Dine-out,Low
Restaurant_177,Yes,No,4.7,48,Koramangala,Cafe,"Idli, Masala Dosa, Vada",South Indian,,Dine-out,High
Restaurant_178,No,No,3.9,831,Jayanagar,Bakery,"Brownie, Cake",Desserts,250.0,Dine-out,Medium
Restaurant_179,Yes,No,4.0,356,Malleshwaram,Bakery,"Pepperoni, Margherita, Garlic Bread, BBQ Chicken",Pizza,250.0,Dine-out,High
Restaurant_180,Yes,No,3.8,699,Marathahalli,Beverage Shop,"Cold Coffee, Cappuccino, Cheesecake",Cafe,100.0,Dine-out,Medium
Restaurant_181,No,No,3.7,215,Yelahanka,Beverage Shop,"Mutton Biryani, Chicken Biryani, Veg Biryani, Raita",Biryani,150.0,Dine-out,Medium
Restaurant_182,Yes,Yes,3.9,1088,Hebbal,Quick Bites,"Veg Biryani, Mutton Biryani, Chicken Biryani, Raita",Biryani,300.0,Dine-out,Medium
Restaurant_183,No,No,4.2,482,Marathahalli,Food Court,"Burger, Pasta",Continental,200.0,Dine-out,High
Restaurant_184,Yes,Yes,4.0,1725,Rajajinagar,Beverage Shop,"Pasta, Pizza, Bruschetta, Tiramisu",Italian,150.0,Dine-out,High
Restaurant_185,Yes,No,4.2,51,Banashankari,Delivery,"Burger, Pasta, Sandwich",Continental,200.0,Delivery,High
Restaurant_186,Yes,No,3.6,389,Yelahanka,Cafe,"Tom Yum, Green Curry, Spring Rolls, Pad Thai",Thai,550.0,Dine-out,Medium
Restaurant_187,No,No,3.8,828,Yelahanka,Quick Bites,"BBQ Chicken, Garlic Bread, Pepperoni",Pizza,200.0,Dine-out,Medium
Restaurant_188,Yes,No,3.4,467,Malleshwaram,Casual Dining,"Pad Thai, Spring Rolls, Tom Yum",Thai,800.0,Dine-out,Low
Restaurant_189,Yes,No,4.4,15,Malleshwaram,Dessert Parlor,"Vada, Filter Coffee",South Indian,200.0,Dine-out,High
Restaurant_190,Yes,No,3.4,1829,Electronic City,Quick Bites,,Thai,200.0,Dine-out,Low
Restaurant_191,Yes,No,3.6,191,Bellandur,Quick Bites,"Brownie, Pastry",Desserts,250.0,Dine-out,Medium
Restaurant_192,Yes,Yes,3.8,163,Whitefield,Bakery,"Mutton Biryani, Chicken Biryani, Veg Biryani",Biryani,200.0,Dine-out,Medium
Restaurant_193,No,Yes,3.7,369,Yelahanka,Bar,"Masala Dosa, Vada, Idli",South Indian,600.0,Dine-out,Medium
Restaurant_194,No,No,4.1,480,Marathahalli,Food Court,"Biryani, Butter Naan, Dal Makhani, Paneer Butter Masala",North Indian,400.0,Dine-out,High
Restaurant_195,Yes,Yes,3.8,828,Koramangala,Bar,"Cheesecake, Cold Coffee, Brownie, Cappuccino",Cafe,600.0,Dine-out,Medium
Restaurant_196,Yes,No,4.5,337,BTM,Delivery,"Noodles, Manchurian, Spring Rolls",Chinese,350.0,Delivery,High
Restaurant_197,No,No,3.3,286,Bellandur,Casual Dining,"Pepperoni, Margherita, Garlic Bread",Pizza,750.0,Dine-out,Low
